id,name,property_type,room_type,bathrooms,bedrooms,beds,price
1.0366131462596881e+18,Aparta Hotel JADAS,Entire rental unit,Entire home/apt,1.0,1.0,3.0,135.0
1.0366547383685098e+18,Élégant appartement de 3 pièces,Entire rental unit,Entire home/apt,1.0,1.0,2.0,194.0
1.0366800789552303e+18,Lausanne Studo close to train station,Entire rental unit,Entire home/apt,1.0,1.0,2.0,126.5
1.0367468640243986e+18,Cosy under the roof apartment,Entire rental unit,Entire home/apt,1.0,1.0,2.0,126.5
1.0367541600882636e+18,Chambre Spacieuse et Cosy,Private room in rental unit,Private room,1.0,1.0,1.0,48.0
1.0368182352664865e+18,Comfy Room in Charming Flat Near Town & Forest,Private room in rental unit,Private room,1.0,1.0,2.0,126.5
1.0381900599609055e+18,habitación piso compartido,Private room in rental unit,Private room,2.0,1.0,1.0,70.0
1.038265358922508e+18,Chambre dans une grande maison,Private room in bed and breakfast,Private room,1.0,2.0,2.0,75.0
1.0383931618254962e+18,Chambre bureau.pour déplacement professionnel.,Private room in rental unit,Private room,1.5,1.0,0.0,50.0
1.0385166317821804e+18,Room at the heart of Lausanne,Private room in rental unit,Private room,1.0,1.0,1.0,72.0
1.0385166394742964e+18,Home at the heart of Lausanne,Entire rental unit,Entire home/apt,1.0,2.0,2.0,159.0
1.0387900585055469e+18,Lake & Mountain Magic,Entire rental unit,Entire home/apt,2.0,2.0,3.0,152.0
1.0389916567931781e+18,Havre de paix au cœur de Nyon,Entire rental unit,Entire home/apt,1.75,1.0,3.5,201.25
1.0391761797045318e+18,Appartement moderne avec terrasse et piscine,Entire rental unit,Entire home/apt,3.0,3.0,8.0,320.0
1.039258477891921e+18,"Appartement avec jardin, vue lac",Entire rental unit,Entire home/apt,1.0,1.0,1.0,174.0
1.0395935978482085e+18,Haute-Crête,Entire chalet,Entire home/apt,1.0,4.0,3.5,194.0
1.039756594251146e+18,Appartement Les Prés d'Enhaut 1,Entire rental unit,Entire home/apt,1.0,3.0,6.0,280.0
1.0397652357002875e+18,Chalet Claquevent,Entire rental unit,Entire home/apt,1.0,2.0,6.0,260.0
1.0397798629475227e+18,Luxe près Lausanne & Nature,Private room in rental unit,Private room,1.0,1.0,1.0,62.0
1.0407906919477892e+18,Charming 2 bed flat in Mies,Entire rental unit,Entire home/apt,1.0,2.0,2.0,170.0
1.0410740845414424e+18,Designer apartement in Leysin,Entire rental unit,Entire home/apt,1.0,3.0,3.0,320.0
1.0411643409551772e+18,Chambre à louer en Montagne,Private room in home,Private room,1.0,1.0,2.0,130.0
1.0412685668382728e+18,un lugar pequeño para descansar,Entire rental unit,Entire home/apt,1.0,1.0,2.0,80.0
1.0413170441143453e+18,appartement bien situé en location,Entire rental unit,Entire home/apt,1.0,1.0,2.0,120.0
1.0417379119457725e+18,Pic-Chaussy B14,Entire rental unit,Entire home/apt,1.0,2.0,4.0,100.0
1.0426616324193203e+18,Studio dans les haut de Lausanne 08,Entire rental unit,Entire home/apt,1.0,0.0,1.0,70.0
1.0426616378274595e+18,Studio dans les hauts de Lausanne 12,Entire rental unit,Entire home/apt,1.0,1.0,1.0,85.0
1.0426923130454735e+18,Petit cocon au calme,Entire rental unit,Entire home/apt,1.375,1.0,1.75,185.75
1.0432164458227565e+18,Cozy room by the lake - Pully,Private room in condo,Private room,1.0,1.0,1.0,88.0
1.0434133410297596e+18,Appartement de luxe,Entire rental unit,Entire home/apt,2.5,3.0,4.0,500.0
1.0434192030088049e+18,Chalet Pierrely,Entire cabin,Entire home/apt,1.5,4.0,8.0,185.0
1.0434268944988865e+18,Appartement 4 p. centre Villars,Entire rental unit,Entire home/apt,2.0,3.0,4.0,450.0
1.0435064064562263e+18,Chambre lumineuse avec jardin,Private room in rental unit,Private room,1.0,1.0,1.0,65.0
1.0438985029603662e+18,"Modern, bright renovated apartment in an old barn",Entire rental unit,Entire home/apt,1.0,2.0,4.0,203.0
1.0443544911678732e+18,Appartment with Panoramic View: Villars-sur-Ollon,Entire rental unit,Entire home/apt,2.0,3.0,3.0,500.0
1.0447479384274642e+18,"""Lodge"" by Villars Urban Retreat",Entire rental unit,Entire home/apt,2.5,3.0,0.0,495.0
1.0449328127887447e+18,Modern apartment Nyon centrum,Entire rental unit,Entire home/apt,2.0,3.0,2.0,169.0
1.0449673312229244e+18,Breathtaking Modern Residence,Entire home,Entire home/apt,2.0,2.0,5.0,310.0
1.0450371458654135e+18,appartement chaleureux et calme,Entire rental unit,Entire home/apt,1.875,1.0,2.0,255.5
1.0452973718631252e+18,Appartement cosy équipé.,Entire rental unit,Entire home/apt,1.5,1.0,2.25,173.25
1.0457226092101788e+18,Grande Chambre Privée,Private room in rental unit,Private room,1.0,1.0,1.0,48.0
1.0457946928274313e+18,casa con jardín. sofá cama,Shared room in home,Shared room,1.0,1.0,1.0,166.0
1.0459544994214628e+18,The Elegant Minimalist Lakefront,Entire rental unit,Entire home/apt,1.0,1.0,1.0,132.0
1.0462579534187809e+18,Chalet Les Pars by Interhome,Entire home,Entire home/apt,1.0,4.0,1.25,154.5
1.0462924736827455e+18,Elegant Getaway in Château-d'Oex with Alpine Views,Entire rental unit,Entire home/apt,1.0,1.0,2.0,170.0
1.0464191463194436e+18,Charmante Junior Suite de 37 m2,Private room in guest suite,Private room,1.0,1.75,1.25,154.5
1.0465535672648997e+18,Appartement centre de Lausanne !,Entire rental unit,Entire home/apt,1.0,1.0,1.0,150.0
1.0473111652861777e+18,Mountains spacious nest,Entire rental unit,Entire home/apt,3.0,2.0,5.0,178.0
1.0477586792633844e+18,Appartement en attique,Entire rental unit,Entire home/apt,1.0,1.0,2.0,190.0
1.0478936505150596e+18,Studio moderne à Lausanne,Entire rental unit,Entire home/apt,1.0,0.0,0.0,80.0
1.0482834735686193e+18,Cozy Alpine Getaway,Entire rental unit,Entire home/apt,2.0,2.0,2.0,160.0
1.0485044441579276e+18,Perfect location Lausanne-Private room,Private room in rental unit,Private room,1.0,1.0,1.0,55.0
1.0492630576613243e+18,"Fêtes fin d'année, App 3,5 pcs",Entire rental unit,Entire home/apt,1.375,2.0,1.75,102.0
1.0499109895041364e+18,Appartement à louer à prilly,Entire rental unit,Entire home/apt,1.0,1.0,1.0,110.0
1.0499264458791538e+18,"""Le Ptit Nid"" Studio avec vue à couper le souffle",Entire rental unit,Entire home/apt,1.5,1.0,3.0,83.0
1.0499408490028529e+18,"Joli appartement avec salon, & 2 chambres",Entire rental unit,Entire home/apt,1.125,2.0,1.5,96.25
1.0505429254855218e+18,Grand Studio à la montagne,Entire rental unit,Entire home/apt,1.0,1.0,1.0,123.0
1.0511582684125027e+18,Style Room,Private room in rental unit,Private room,1.0,2.0,1.0,69.0
1.0514737008698135e+18,Cozy appartement à Château d’oex,Entire rental unit,Entire home/apt,1.125,1.0,1.5,101.25
1.052236341493848e+18,Appartement au centre-ville,Entire rental unit,Entire home/apt,1.0,1.0,1.0,130.0
1.0536505078503419e+18,Bel appartement meublé dans une villa avec vue lac,Entire rental unit,Entire home/apt,1.0,3.0,3.0,140.0
1.0540767180596388e+18,Très belle chambre au calme,Private room in rental unit,Private room,1.0,1.0,1.0,72.0
1.054975539299014e+18,Votre cocon à la Ferme fromagère à Leysin,Farm stay,Entire home/apt,1.0,1.0,2.0,140.0
1.0550226086950546e+18,Standard Room / Shared Bathroom,Private room in guesthouse,Private room,2.0,1.0,2.0,127.0
1.0550368257966911e+18,"""Peaks"" by Villars Urban Retreat",Entire rental unit,Entire home/apt,2.5,3.0,4.0,525.0
1.0550501961773226e+18,"""Attic"" by Villars Urban Retreat",Entire rental unit,Entire home/apt,1.5,2.0,2.0,390.0
1.0550568489736148e+18,"Bel appartement 1,5 pièce avec terrasse",Entire rental unit,Entire home/apt,1.0,1.0,1.0,62.0
1.0551897588372279e+18,"Magnifique appartement vue lac,calme, confortable",Entire rental unit,Entire home/apt,1.5,2.0,2.0,139.0
1.0555766440999194e+18,Logement dans le cœur historique,Entire rental unit,Entire home/apt,1.0,1.0,1.0,95.0
1.0556821028794634e+18,Superior Room / Shared Bathroom,Private room in guesthouse,Private room,2.0,1.0,2.0,147.0
1.0558319333761162e+18,Appartement avec vue sur le lac,Entire rental unit,Entire home/apt,1.0,1.0,2.0,90.0
1.0562286457115196e+18,Appartement près de La Sallaz,Entire rental unit,Entire home/apt,1.25,3.0,2.0,179.25
1.0563251805955597e+18,Disponible de suite,Private room in home,Private room,1.0,1.0,0.0,60.0
