listing_url,name,property_type,host_is_superhost,host_acceptance_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,price
https://www.airbnb.com/rooms/46813941,Studio à 10min du centre de Lausanne.,Entire rental unit,False,70.75,Lausanne,Lausanne,146.0
https://www.airbnb.com/rooms/46832243,1 Chambre privée pour 2 voyageurs,Private room in rental unit,False,0.0,Montreux,Riviera-Pays-d'Enhaut,119.0
https://www.airbnb.com/rooms/46844070,Cozy chalet ideal for up to 6 people,Entire chalet,False,100.0,Montreux,Riviera-Pays-d'Enhaut,250.0
https://www.airbnb.com/rooms/46862004,Appartement au milieu de la nature sauvage,Entire rental unit,False,86.75,Lavey-Morcles,Aigle,122.0
https://www.airbnb.com/rooms/46863981,Bright and cozy studio in the center of Lausanne,Entire rental unit,False,55.0,Lausanne,Lausanne,58.0
https://www.airbnb.com/rooms/46900580,Bedroom & private bathroom,Private room in rental unit,False,62.0,Lausanne,Lausanne,50.0
https://www.airbnb.com/rooms/46935694,Belle chambre avec balcon et énorme lit !,Private room in rental unit,False,89.25,Duillier,Nyon,162.25
https://www.airbnb.com/rooms/47024689,Mountain getaway for two,Entire rental unit,False,93.0,Leysin,Aigle,168.25
https://www.airbnb.com/rooms/47044631,Appartement Rose de Noël,Entire rental unit,False,100.0,Ormont-Dessus,Aigle,139.0
https://www.airbnb.com/rooms/47053806,"Charmant appartement, centre-ville Lausanne",Entire rental unit,False,0.0,Lausanne,Lausanne,70.0
https://www.airbnb.com/rooms/47067221,Lux Heidi Chalet with Panoramic Views near Gstaad,Entire chalet,True,100.0,Château-d'Oex,Riviera-Pays-d'Enhaut,5000.0
https://www.airbnb.com/rooms/47088614,"chambre avec s d bain, balcon dans chalet typique",Private room in guesthouse,False,100.0,Château-d'Oex,Riviera-Pays-d'Enhaut,222.5
https://www.airbnb.com/rooms/47089047,Beautiful mountain chalet just off the ski slopes,Entire chalet,False,100.0,Gryon,Aigle,341.5
https://www.airbnb.com/rooms/47090965,Apartment 1.0 Pièce(s),Entire rental unit,False,92.0,Leysin,Aigle,113.0
https://www.airbnb.com/rooms/47103179,Cozy nordic appartement,Entire rental unit,False,50.0,Prilly,Ouest lausannois,80.0
https://www.airbnb.com/rooms/47186096,Beautiful Villars with a View,Entire condo,False,100.0,Ollon,Aigle,130.0
https://www.airbnb.com/rooms/47187882,Studio Terrasse Vue Unique sur les Alpes Vaudoises,Entire guesthouse,True,100.0,Leysin,Aigle,96.0
https://www.airbnb.com/rooms/47232277,Au pied des Alpes,Entire rental unit,False,63.25,Bex,Aigle,119.5
https://www.airbnb.com/rooms/47233539,Charming studio close to the center of Villars,Entire rental unit,False,63.25,Ollon,Aigle,119.5
https://www.airbnb.com/rooms/47279809,145 * Spacious apartment bright and charming !,Entire rental unit,False,95.0,Lausanne,Lausanne,171.0
